"Question","Answer"
"Expand x: x(y + z) = A","xy + xz = A"
"Subtract x from both sides: y = A + x","y - A = x"
"Add x to both sides: y = A - x","y + x = A"
"Divide both sides by x: y = Ax","y/x = A"
"Multiply both sides by x: y/x = A","y = A*x"
"Factor out y: yz + yx = A","y(z + x) = A"
"Expand y: y(z + x) = A","yz + yx = A"
"Combine like terms: y + y = z","2y = z"
"Factor out z: zx + zy = B","z(x + y) = B"
"Expand z: z(x + y) = B","zx + zy = B"
"Factor out z: zx - zy = B","z(x - y) = B"
"Expand z: z(x - y) = B","zx - zy = B"
"Subtract z from both sides: x = A + z","x - A = z"
"Add z to both sides: x = A - z","x + z = A"
"Combine like terms: x + x = z","2x = z"
"Divide both sides by y: z = A/y","z*y = A"
"Subtract y from both sides: z = A + y","z - A = y"
"Add y to both sides: z = A - y","z + y = A"
"Divide both sides by z: y = A/z","y*z = A"
"Subtract z from both sides: y = A + z","y - A = z"
"Add z to both sides: y = A - z","y + z = A"
"Divide both sides by x: z = A/x","z*x = A"
"Subtract x from both sides: z = A + x","z - A = x"
"Add x to both sides: z = A - x","z + x = A"
"Combine like terms: z + z = x","2z = x"
"Factor out A: Ax + Az = B","A(x + z) = B"
"Expand A: A(x + z) = B","Ax + Az = B"
"Combine like terms: x + x = y","2x = y"
"Factor out B: Bx + Bz = A","B(x + z) = A"
"Expand B: B(x + z) = A","Bx + Bz = A"
"Combine like terms: z + z = y","2z = y"
"Divide both sides by A: zx = B","z = B/A"
"Subtract A from both sides: zx - A = B","zx = B + A"
"Add A to both sides: zx + A = B","zx = B - A"
"Divide both sides by B: zy = A","z = A/B"
"Subtract B from both sides: zy - B = A","zy = A + B"
"Add B to both sides: zy + B = A","zy = A - B"
"Combine like terms: y + y = z","2y = z"
"Divide both sides by y: zx = A","z = A/y"
"Subtract y from both sides: zx - y = A","zx = A + y"
"Add y to both sides: zx + y = A","zx = A - y"
"Subtract A from both sides: x - A = B","x = B + A"
"Divide both sides by A: Ax = B","x = B/A"
"Multiply both sides by A: x/A = B","x = A*B"
"Take the square root of both sides: x^2 = A","x = sqrt(A)"
"Raise both sides to the power of 2: sqrt(x) = A","x = A^2"
"Subtract A from both sides: y - A = B","y = B + A"
"Divide both sides by A: Ay = B","y = B/A"
"Multiply both sides by A: y/A = B","y = A*B"
"Take the square root of both sides: y^2 = A","y = sqrt(A)"
"Raise both sides to the power of 2: sqrt(y) = A","y = A^2"
"Subtract Ax from both sides: y = B + Ax","y - B = Ax"
"Divide both sides by x: A = B/y","A*y = B"
"Factor out A: Ax + Ay = B","A(x + y) = B"
"Expand A: A(x + y) = B","Ax + Ay = B"
"Combine like terms: x + x = A","2x = A"
"Combine like terms: y + y = A","2y = A"
"Factor out A: Ax - Ay = B","A(x - y) = B"
"Expand A: A(x - y) = B","Ax - Ay = B"
"Factor out B from both sides: Bx + By = A","B(x + y) = A"
"Subtract B from both sides: x - B = A","x = A + B"
"Divide both sides by B: Bx = A","x = A/B"
"Add B to both sides: x + B = A","x = A - B"
"Factor out B: Bx - By = A","B(x - y) = A"
"Expand B: B(x - y) = A","Bx - By = A"
"Combine like terms: z + z = A","2z = A"
"Divide both sides by z: A = B/z","A*z = B"
"Add z to both sides: x + z = A","x = A - z"
"Factor out y: yz + yx = A","y(z + x) = A"
"Expand y: y(z + x) = A","yz + yx = A"
"Combine like terms: y + y = z","2y = z"
"Factor out z: zx + zy = B","z(x + y) = B"
"Expand z: z(x + y) = B","zx + zy = B"
"Factor out x: xy + xz = A","x(y + z) = A"
"Expand x: x(y + z) = A","xy + xz = A"
"Subtract x from both sides: y = A + x","y - A = x"
"Factor out y: yz + yx = A","y(z + x) = A"
"Expand y: y(z + x) = A","yz + yx = A"
"Combine like terms: y + y = x","2y = x"
"Divide both sides by y: z = A/y","z*y = A"
"Subtract y from both sides: z = A + y","z - A = y"
"Divide both sides by z: y = A/z","y*z = A"
"Subtract z from both sides: y = A + z","y - A = z"
"Divide both sides by x: z = A/x","z*x = A"
"Subtract x from both sides: z = A + x","z - A = x"
"Combine like terms: z + z = y","2z = y"
"Factor out A: Ax + Az = B","A(x + z) = B"
"Expand A: A(x + z) = B","Ax + Az = B"
"Combine like terms: x + x = z","2x = z"
"Factor out B: Bx + Bz = A","B(x + z) = A"
"Expand B: B(x + z) = A","Bx + Bz = A"
"Subtract A from both sides: z - A = x","z = x + A"
"Add A to both sides: z + A = x","z = x - A"
"Subtract B from both sides: x - B = z","x = z + B"
"Add B to both sides: x + B = z","x = z - B"
"Factor out B: Bz + Bx = A","B(z + x) = A"
"Expand B: B(z + x) = A","Bz + Bx = A"
"Subtract x from both sides: y - x = A","y = A + x"
"Add x to both sides: y + x = A","y = A - x"
"Subtract z from both sides: x - z = A","x = A + z"
"Add z to both sides: x + z = A","x = A - z"
"Subtract y from both sides: z - y = A","z = A + y"
"Add y to both sides: z + y = A","z = A - y"
"Combine like terms: z + z = x","2z = x"
"Factor out A: Az + Ay = B","A(z + y) = B"
"Expand A: A(z + y) = B","Az + Ay = B"
"Combine like terms: y + y = z","2y = z"
"Factor out B: By + Bz = A","B(y + z) = A"
"Expand B: B(y + z) = A","By + Bz = A"
"Subtract A from both sides: y - A = z","y = z + A"
"Add A to both sides: y + A = z","y = z - A"
"Subtract B from both sides: z - B = y","z = y + B"
"Add B to both sides: z + B = y","z = y - B"
"Factor out B: Bz + By = A","B(z + y) = A"
"Expand B: B(z + y) = A","Bz + By = A"
"Combine like terms: x + x = y","2x = y"
"Factor out A: Ax + Ay = B","A(x + y) = B"
"Expand A: A(x + y) = B","Ax + Ay = B"
"Combine like terms: x + x = z","2x = z"
"Factor out B: Bx + By = A","B(x + y) = A"
"Expand B: B(x + y) = A","Bx + By = A"
"Combine like terms: y + y = x","2y = x"
"Factor out B: By + Bz = A","B(y + z) = A"
"Expand B: B(y + z) = A","By + Bz = A"
"Combine like terms: z + z = x","2z = x"
"Factor out A: Az + Ax = B","A(z + x) = B"
"Expand A: A(z + x) = B","Az + Ax = B"
"Combine like terms: z + z = y","2z = y"
"Factor out B: Bz + Bx = A","B(z + x) = A"
"Expand B: B(z + x) = A","Bz + Bx = A"
"Subtract x from both sides: y = A + x","y - A = x"
"Factor out y: yz + yx = A","y(z + x) = A"
"Expand y: y(z + x) = A","yz + yx = A"
"Combine like terms: y + y = z","2y = z"
"Factor out z: zx + zy = B","z(x + y) = B"
"Expand z: z(x + y) = B","zx + zy = B"
"Subtract y from both sides: z = A + y","z - A = y"
"Factor out x: xy + xz = A","x(y + z) = A"
"Expand x: x(y + z) = A","xy + xz = A"
"Subtract z from both sides: x = A + z","x - A = z"
"Factor out y: yx + yz = A","y(x + z) = A"
"Expand y: y(x + z) = A","yx + yz = A"
"Subtract x from both sides: y = A + x","y - A = x"
"Factor out z: zx + zy = B","z(x + y) = B"
"Expand z: z(x + y) = B","zx + zy = B"
"Subtract y from both sides: z = A + y","z - A = y"
"Factor out x: xz + xy = A","x(z + y) = A"
"Expand x: x(z + y) = A","xz + xy = A"
"Subtract z from both sides: x = A + z","x - A = z"
"Factor out y: yz + yx = A","y(z + x) = A"
"Expand y: y(z + x) = A","yz + yx = A"
"Combine like terms: y + y = x","2y = x"
"Divide both sides by y: z = A/y","z*y = A"
"Subtract y from both sides: z = A + y","z - A = y"
"Combine like terms: z + z = x","2z = x"
"Factor out A: Ax + Az = B","A(x + z) = B"
"Expand A: A(x + z) = B","Ax + Az = B"
"Combine like terms: x + x = y","2x = y"
"Factor out B: Bx + Bz = A","B(x + z) = A"
"Expand B: B(x + z) = A","Bx + Bz = A"
"Add C to both sides: x + C = A","x = A - C"
"Divide both sides by C: Cx = A","x = A/C"
"Subtract C from both sides: x - C = A","x = A + C"
"Combine like terms: x + x = C","2x = C"
"Multiply both sides by C: x/C = A","x = A*C"
"Raise both sides to the power of 3: cbrt(x) = A","x = A^3"
"Factor out C: Cx - Cy = A","C(x - y) = A"
"Expand C: C(x - y) = A","Cx - Cy = A"
"Subtract C from both sides: y - C = A","y = A + C"
"Multiply both sides by C: y/C = A","y = A*C"
"Add C to both sides: y + C = A","y = A - C"
"Combine like terms: y + y = C","2y = C"
"Raise both sides to the power of 3: cbrt(y) = A","y = A^3"
"Factor out C: Cy - Cx = A","C(y - x) = A"
"Expand C: C(y - x) = A","Cy - Cx = A"
"Combine like terms: y + x = C","y + x = C"
"Divide both sides by y: x = C/y","x = C*y"
"Add x to both sides: y = C - x","y = C - x"
"Combine like terms: x + z = C","x + z = C"
"Factor out z: Cz - Cx = A","C(z - x) = A"
"Expand z: C(z - x) = A","Cz - Cx = A"
"Factor out x: Cx + Cy = A","C(x + y) = A"
"Expand x: C(x + y) = A","Cx + Cy = A"
"Add x to both sides: z = C - x","z = C - x"
"Factor out y: Cy + Cz = A","C(y + z) = A"
"Expand y: C(y + z) = A","Cy + Cz = A"
"Add y to both sides: z = C - y","z = C - y"
"Factor out z: Cz + Cy = A","C(z + y) = A"
"Expand z: C(z + y) = A","Cz + Cy = A"
"Combine like terms: z + x = C","z + x = C"
"Factor out C: Cz + Cx = B","C(z + x) = B"
"Expand C: C(z + x) = B","Cz + Cx = B"
"Combine like terms: x + y = C","x + y = C"
"Divide both sides by x: y = C/x","y = C*x"
"Add y to both sides: x = C - y","x = C - y"
"Factor out y: Cy + Cx = B","C(y + x) = B"
"Expand y: C(y + x) = B","Cy + Cx = B"
"Combine like terms: y + z = C","y + z = C"
"Factor out x: Cx + Cz = B","C(x + z) = B"
"Expand x: C(x + z) = B","Cx + Cz = B"
"Add x to both sides: y = C - x","y = C - x"
"Factor out z: Cz + Cx = A","C(z + x) = A"
"Expand z: C(z + x) = A","Cz + Cx = A"
"Combine like terms: z + y = C","z + y = C"
"Divide both sides by z: x = C/z","x = C*z"
"Add z to both sides: y = C - z","y = C - z"
"Factor out y: Cy + Cz = B","C(y + z) = B"
"Expand y: C(y + z) = B","Cy + Cz = B"
"Combine like terms: y + x = C","y + x = C"
"Factor out C: Cy + Cx = A","C(y + x) = A"
"Expand C: C(y + x) = A","Cy + Cx = A"
"Combine like terms: x + z = C","x + z = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: y + z = C","y + z = C"
"Divide both sides by y: x = C/y","x = C*y"
"Add x to both sides: y = C - x","y = C - x"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: z + x = C","z + x = C"
"Factor out C: Cz + Cx = B","C(z + x) = B"
"Expand C: C(z + x) = B","Cz + Cx = B"
"Combine like terms: x + y = C","x + y = C"
"Factor out z: Cz + Cy = A","C(z + y) = A"
"Expand z: C(z + y) = A","Cz + Cy = A"
"Factor out x: Cx + Cy = A","C(x + y) = A"
"Expand x: C(x + y) = A","Cx + Cy = A"
"Combine like terms: z + y = C","z + y = C"
"Divide both sides by z: x = C/z","x = C*z"
"Add z to both sides: y = C - z","y = C - z"
"Factor out y: Cy + Cx = B","C(y + x) = B"
"Expand y: C(y + x) = B","Cy + Cx = B"
"Combine like terms: x + z = C","x + z = C"
"Divide both sides by x: y = C/x","y = C*x"
"Add y to both sides: x = C - y","x = C - y"
"Factor out z: Cz + Cx = A","C(z + x) = A"
"Expand z: C(z + x) = A","Cz + Cx = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out x: Cx + Cy = A","C(x + y) = A"
"Expand x: C(x + y) = A","Cx + Cy = A"
"Combine like terms: z + x = C","z + x = C"
"Factor out C: Cz + Cy = B","C(z + y) = B"
"Expand C: C(z + y) = B","Cz + Cy = B"
"Combine like terms: y + x = C","y + x = C"
"Divide both sides by y: x = C/y","x = C*y"
"Add x to both sides: y = C - x","y = C - x"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: x + y = C","x + y = C"
"Factor out C: Cx + Cz = A","C(x + z) = A"
"Expand C: C(x + z) = A","Cx + Cz = A"
"Combine like terms: z + y = C","z + y = C"
"Factor out x: Cx + Cy = A","C(x + y) = A"
"Expand x: C(x + y) = A","Cx + Cy = A"
"Combine like terms: x + z = C","x + z = C"
"Divide both sides by x: y = C/x","y = C*x"
"Add y to both sides: x = C - y","x = C - y"
"Factor out y: Cy + Cz = A","C(y + z) = A"
"Expand y: C(y + z) = A","Cy + Cz = A"
"Combine like terms: z + x = C","z + x = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: x + y = C","x + y = C"
"Factor out C: Cx + Cz = A","C(x + z) = A"
"Expand C: C(x + z) = A","Cx + Cz = A"
"Combine like terms: y + z = C","y + z = C"
"Divide both sides by y: x = C/y","x = C*y"
"Add x to both sides: y = C - x","y = C - x"
"Factor out x: Cx + Cz = B","C(x + z) = B"
"Expand x: C(x + z) = B","Cx + Cz = B"
"Combine like terms: z + x = C","z + x = C"
"Factor out C: Cz + Cx = A","C(z + x) = A"
"Expand C: C(z + x) = A","Cz + Cx = A"
"Combine like terms: x + y = C","x + y = C"
"Factor out z: Cz + Cy = A","C(z + y) = A"
"Expand z: C(z + y) = A","Cz + Cy = A"
"Factor out x: Cx + Cy = B","C(x + y) = B"
"Expand x: C(x + y) = B","Cx + Cy = B"
"Combine like terms: z + y = C","z + y = C"
"Divide both sides by z: x = C/z","x = C*z"
"Add z to both sides: y = C - z","y = C - z"
"Factor out y: Cy + Cx = A","C(y + x) = A"
"Expand y: C(y + x) = A","Cy + Cx = A"
"Combine like terms: x + z = C","x + z = C"
"Factor out C: Cx + Cy = B","C(x + y) = B"
"Expand C: C(x + y) = B","Cx + Cy = B"
"Combine like terms: y + z = C","y + z = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: z + x = C","z + x = C"
"Divide both sides by x: y = C/x","y = C*x"
"Add y to both sides: x = C - y","x = C - y"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: x + y = C","x + y = C"
"Factor out C: Cx + Cz = A","C(x + z) = A"
"Expand C: C(x + z) = A","Cx + Cz = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out x: Cx + Cy = A","C(x + y) = A"
"Expand x: C(x + y) = A","Cx + Cy = A"
"Combine like terms: x + z = C","x + z = C"
"Divide both sides by y: x = C/y","x = C*y"
"Add x to both sides: y = C - x","y = C - x"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: y + x = C","y + x = C"
"Factor out C: Cx + Cy = B","C(x + y) = B"
"Expand C: C(x + y) = B","Cx + Cy = B"
"Combine like terms: x + z = C","x + z = C"
"Divide both sides by z: x = C/z","x = C*z"
"Add z to both sides: y = C - z","y = C - z"
"Factor out y: Cy + Cx = A","C(y + x) = A"
"Expand y: C(y + x) = A","Cy + Cx = A"
"Combine like terms: z + x = C","z + x = C"
"Factor out C: Cz + Cx = B","C(z + x) = B"
"Expand C: C(z + x) = B","Cz + Cx = B"
"Combine like terms: x + y = C","x + y = C"
"Factor out z: Cz + Cy = A","C(z + y) = A"
"Expand z: C(z + y) = A","Cz + Cy = A"
"Combine like terms: y + z = C","y + z = C"
"Divide both sides by x: y = C/x","y = C*x"
"Add y to both sides: x = C - y","x = C - y"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: z + x = C","z + x = C"
"Factor out C: Cz + Cx = B","C(z + x) = B"
"Expand C: C(z + x) = B","Cz + Cx = B"
"Combine like terms: x + y = C","x + y = C"
"Divide both sides by y: x = C/y","x = C*y"
"Add x to both sides: y = C - x","y = C - x"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: x + y = C","x + y = C"
"Factor out C: Cx + Cz = A","C(x + z) = A"
"Expand C: C(x + z) = A","Cx + Cz = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out x: Cx + Cy = A","C(x + y) = A"
"Expand x: C(x + y) = A","Cx + Cy = A"
"Combine like terms: z + x = C","z + x = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: x + y = C","x + y = C"
"Factor out C: Cx + Cz = A","C(x + z) = A"
"Expand C: C(x + z) = A","Cx + Cz = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out x: Cx + Cy = B","C(x + y) = B"
"Expand x: C(x + y) = B","Cx + Cy = B"
"Combine like terms: z + x = C","z + x = C"
"Factor out C: Cz + Cy = A","C(z + y) = A"
"Expand C: C(z + y) = A","Cz + Cy = A"
"Combine like terms: x + y = C","x + y = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: y + x = C","y + x = C"
"Factor out x: Cx + Cy = A","C(x + y) = A"
"Expand x: C(x + y) = A","Cx + Cy = A"
"Combine like terms: z + y = C","z + y = C"
"Factor out C: Cz + Cy = B","C(z + y) = B"
"Expand C: C(z + y) = B","Cz + Cy = B"
"Combine like terms: x + z = C","x + z = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out C: Cy + Cx = B","C(y + x) = B"
"Expand C: C(y + x) = B","Cy + Cx = B"
"Combine like terms: x + z = C","x + z = C"
"Factor out z: Cz + Cy = A","C(z + y) = A"
"Expand z: C(z + y) = A","Cz + Cy = A"
"Factor out x: Cx + Cy = B","C(x + y) = B"
"Expand x: C(x + y) = B","Cx + Cy = B"
"Combine like terms: z + y = C","z + y = C"
"Factor out C: Cz + Cx = B","C(z + x) = B"
"Expand C: C(z + x) = B","Cz + Cx = B"
"Combine like terms: x + y = C","x + y = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: x + y = C","x + y = C"
"Factor out C: Cx + Cy = A","C(x + y) = A"
"Expand C: C(x + y) = A","Cx + Cy = A"
"Combine like terms: z + x = C","z + x = C"
"Factor out x: Cx + Cz = B","C(x + z) = B"
"Expand x: C(x + z) = B","Cx + Cz = B"
"Combine like terms: y + z = C","y + z = C"
"Factor out C: Cy + Cx = B","C(y + x) = B"
"Expand C: C(y + x) = B","Cy + Cx = B"
"Combine like terms: x + z = C","x + z = C"
"Factor out z: Cz + Cx = A","C(z + x) = A"
"Expand z: C(z + x) = A","Cz + Cx = A"
"Combine like terms: y + x = C","y + x = C"
"Factor out x: Cx + Cy = A","C(x + y) = A"
"Expand x: C(x + y) = A","Cx + Cy = A"
"Combine like terms: z + y = C","z + y = C"
"Factor out C: Cz + Cy = B","C(z + y) = B"
"Expand C: C(z + y) = B","Cz + Cy = B"
"Combine like terms: x + y = C","x + y = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: y + x = C","y + x = C"
"Factor out C: Cx + Cy = A","C(x + y) = A"
"Expand C: C(x + y) = A","Cx + Cy = A"
"Combine like terms: x + z = C","x + z = C"
"Factor out x: Cx + Cz = B","C(x + z) = B"
"Expand x: C(x + z) = B","Cx + Cz = B"
"Combine like terms: y + z = C","y + z = C"
"Factor out C: Cy + Cx = A","C(y + x) = A"
"Expand C: C(y + x) = A","Cy + Cx = A"
"Combine like terms: z + x = C","z + x = C"
"Factor out C: Cz + Cx = A","C(z + x) = A"
"Expand C: C(z + x) = A","Cz + Cx = A"
"Combine like terms: x + y = C","x + y = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: y + x = C","y + x = C"
"Factor out C: Cx + Cy = B","C(x + y) = B"
"Expand C: C(x + y) = B","Cx + Cy = B"
"Combine like terms: x + z = C","x + z = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out z: Cz + Cy = A","C(z + y) = A"
"Expand z: C(z + y) = A","Cz + Cy = A"
"Factor out x: Cx + Cy = B","C(x + y) = B"
"Expand x: C(x + y) = B","Cx + Cy = B"
"Combine like terms: x + z = C","x + z = C"
"Factor out z: Cz + Cx = A","C(z + x) = A"
"Expand z: C(z + x) = A","Cz + Cx = A"
"Combine like terms: y + x = C","y + x = C"
"Factor out C: Cx + Cz = B","C(x + z) = B"
"Expand C: C(x + z) = B","Cx + Cz = B"
"Combine like terms: x + y = C","x + y = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out C: Cy + Cx = A","C(y + x) = A"
"Expand C: C(y + x) = A","Cy + Cx = A"
"Combine like terms: x + z = C","x + z = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: y + x = C","y + x = C"
"Factor out x: Cx + Cy = B","C(x + y) = B"
"Expand x: C(x + y) = B","Cx + Cy = B"
"Combine like terms: z + y = C","z + y = C"
"Factor out C: Cz + Cx = A","C(z + x) = A"
"Expand C: C(z + x) = A","Cz + Cx = A"
"Combine like terms: x + y = C","x + y = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: y + x = C","y + x = C"
"Factor out x: Cx + Cy = B","C(x + y) = B"
"Expand x: C(x + y) = B","Cx + Cy = B"
"Combine like terms: x + z = C","x + z = C"
"Factor out C: Cx + Cy = A","C(x + y) = A"
"Expand C: C(x + y) = A","Cx + Cy = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: z + x = C","z + x = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: x + y = C","x + y = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out C: Cy + Cx = B","C(y + x) = B"
"Expand C: C(y + x) = B","Cy + Cx = B"
"Combine like terms: z + x = C","z + x = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: y + x = C","y + x = C"
"Factor out C: Cx + Cy = B","C(x + y) = B"
"Expand C: C(x + y) = B","Cx + Cy = B"
"Combine like terms: x + z = C","x + z = C"
"Factor out z: Cz + Cx = A","C(z + x) = A"
"Expand z: C(z + x) = A","Cz + Cx = A"
"Combine like terms: y + x = C","y + x = C"
"Factor out x: Cx + Cy = B","C(x + y) = B"
"Expand x: C(x + y) = B","Cx + Cy = B"
"Combine like terms: z + y = C","z + y = C"
"Factor out C: Cz + Cx = B","C(z + x) = B"
"Expand C: C(z + x) = B","Cz + Cx = B"
"Combine like terms: x + y = C","x + y = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out C: Cy + Cx = A","C(y + x) = A"
"Expand C: C(y + x) = A","Cy + Cx = A"
"Combine like terms: x + z = C","x + z = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: y + x = C","y + x = C"
"Factor out x: Cx + Cy = B","C(x + y) = B"
"Expand x: C(x + y) = B","Cx + Cy = B"
"Combine like terms: z + y = C","z + y = C"
"Factor out C: Cz + Cx = A","C(z + x) = A"
"Expand C: C(z + x) = A","Cz + Cx = A"
"Combine like terms: x + y = C","x + y = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: y + x = C","y + x = C"
"Factor out x: Cx + Cy = B","C(x + y) = B"
"Expand x: C(x + y) = B","Cx + Cy = B"
"Combine like terms: x + z = C","x + z = C"
"Factor out C: Cx + Cy = A","C(x + y) = A"
"Expand C: C(x + y) = A","Cx + Cy = A"
